video_id,channel_id,published_date,video_title,video_description,likes,views,comment_count
bPSv_A_S8p0,UCd0neB_LB1xpwIYDetX2qTg,2022-01-18T12:00:12Z,TỰ TRUYỆN của Cris Phan,"TỰ TRUYỆN của Cris Phan (CrisDevilGamer) sẽ chính thức ON AIR vào lúc 19 giờ 00 ngày 18 tháng 1 năm 2022
#TuTruyen #CrisPhan #ShortFilm
*Credit:
Đạo diễn : Cris Phan
DOP : Đặng Duy Phong
Diễn Viên : 
- Cris Phan , Mai Quỳnh Anh
- Huỳnh Hùng Tâm vai Ba 
- Châu Đàm vai mẹ
- Bé Minh Quân vai Cris lúc lớn
- Bé Shin vai Cris lúc nhỏ
- và một số diễn viên khác .
- Giọng đọc: Cảm (Phước Nhân)
Music Composer: Mai Xuân Thứ
AD : Thang Sang 
Quay Phim : Khánh Huy 
catering : Jupi Mol
Bts : Bùi Như Phong
Editor : Ric 
Colorist : Trần Thái Phong
Đạo cụ :Nguyễn Hoàng  Trọng
Location : Jupi Mol
Booking Extra : Nguyễn Phương Trinh
Camera Equipment : Lenspro
Phụ máy : Tài Lespro , Long , Hiếu Nguyễn 
Âm thanh : ĐẠI KEN
Lighting & Grip : Team Thanh Balon
Gaffer : Tùng Ánh Sáng
Makeup: Nguyễn Duy Minh
Poster: Đinh Thiên Phú
Cảm ơn các thầy cô đã cho con về lại trường cấp 1 Âu Dương Lân để quay các cảnh phim
*
Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer
Facebook của mình:
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
Hôm nay trên kênh CrisDevilGamer của Cris Phan sẽ có một sản phẩm cực kì chỉn chu, kể về cuộc đời của Cris lúc nhỏ, Cris liệu có giống như mọi người hay nói là SINH RA Ở VẠCH ĐÍCH hay không? Có giàu từ nhỏ hay không? Tên thật của Cris là gì? Các bạn sẽ có câu trả lời qua Short Film TỰ TRUYỆN Cris Phan này
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",314486,2895924,13460
3MKq8tfLiMY,UCd0neB_LB1xpwIYDetX2qTg,2019-07-04T11:00:11Z,YÊU RỒI COVER | CrisDevilGamer và Mai Quỳnh Anh,"BÀI HÁT: YÊU RỒI
Nhạc sĩ: Tăng Nhật Tuệ
Music Composer: Nguyễn Đình Vũ
Trình bày: CrisDevilGamer và Mai Quỳnh Anh
*
#CrisDevilGamer #MaiQuynhAnh #CrisDevilGamerVlog
Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer
Facebook của mình:
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
Hôm nay CrisDevilGamer sẽ cho ra một MV nho nhỏ để tặng cho các bạn fans đã yêu cầu có bài hát YÊU RỒI do Cris Devil Gamer và Mai Quỳnh Anh trình bày cho các bạn
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",344851,5981399,17212
Yr-meWsd1UI,UCd0neB_LB1xpwIYDetX2qTg,2019-10-26T11:00:02Z,THẦN ĂN CrisDevilGamer,"Muốn ăn mì của Thần Ăn thì vào đây: https://tiki.vn/hop-mi-omachi-xot-bo-ham-93g-hop-p21120037.html?spid=21120038
*
THẦN ĂN CrisDevilGamer
#CrisDevilGamer #Omachi #ThanAn
Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer
Facebook của mình:
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
Tối nay ăn gì? Đó là một câu hỏi mà chúng ta luôn tự hỏi bản thân hằng ngày hằng ngày luôn đúng không các bạn, CrisDevilGamer cũng vậy, các bạn hãy đón xem Serie Tối nay ăn gì của CrisDevilGamer để có được những sự lựa chọn mới trong menu ăn uống của chúng ta nhé!
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",171847,11378595,4408
b68UyThesX4,UCd0neB_LB1xpwIYDetX2qTg,2019-05-11T11:00:41Z,EM ĐÃ THẤY ANH CÙNG NGƯỜI ẤY | CrisDevilGamer Parody 4k,"EM ĐÃ THẤY ANH CÙNG NGƯỜI ẤY | CrisDevilGamer Parody
MV gốc: https://www.youtube.com/watch?v=Q3teJIoHBfA
Chân thành cảm ơn chị Hương Giang, Dương Phước Bảo Lâm và Composer Andiez Nam Trương đã hỗ trợ và cho phép sử dụng bản quyền của bài hát này
*
VIDEO CREDIT:
PRODUCED BY: CrisDevilGamer Studio
PRODUCTION HOUSE: Futurism Multimedie Studio và Nhanh Media
DIRECTOR: Dang Duy Phong
DOP: Nhanh Le
SCRIPT WRITER: Cris & Dang Duy Phong
COMPOSER: Andiez Nam Truong
SINGER: Huong Giang
CAMERA OPERATOR: Le Hoang An, Sang, Tee Wang
1st ASSISTANT DIRECTOR: Trieu Thien, Tran Khanh Huy
EXCUTIVE PRODUCER: Mai Quynh Anh
ACTOR & ACTRESS: CrisDevilGamer, Mai Xuan Thu, Hang Nguyen
SET DESIGN: Evin Do
MAKEUP: Nguyen Tuan Anh, Tram
BTS: Huu Trong
SOUND RECORD: Tran Linh Sound Team
LIGHTING CREW: Anh Thanh Team
COSTUME: Nguyen Phuc Kim Ngan, Luong Minh Trang, Le Chi
*
#CrisDevilGamer #EDTACNA #CrisDevilGamerParody
Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer
Facebook của mình:
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
Đây là sản phẩm PARODY tiếp theo của CrisDevilGamer trong dòng serie Cris Devil Gamer PARODY, bài hát lần này được lựa chọn là bài EM ĐÃ THẤY ANH CÙNG NGƯỜI ẤY (EDTACNA) của chị Hương Giang, còn chờ gì nữa, mà không lao vào xem nào
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",193368,5107486,13003
0MwVmztQPLk,UCd0neB_LB1xpwIYDetX2qTg,2019-04-04T11:00:02Z,NẾU CrisDevilGamer ĐI BÁN HÀNG ONLINE,"Video chỉ có mục đích giải trí, hài hước và gây tiếng cười, không hề có ý lăng mạ hay sỉ nhục bất kì cá nhân hay tổ chức nào cả!
NẾU CrisDevilGamer ĐI BÁN HÀNG ONLINE
#CrisDevilGamer #CrisDevilGamerBiDuoiViec #CrisDevilGamerBanHangOnline
*
Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer
Facebook của mình
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
Hôm nay CrisDevilGamer lại bị đuổi việc nữa rồi, nhưng không sao Cris Devil Gamer sẽ lại tìm một công việc khác đó chính là đi bán hàng online kiểu như HOT GIRL TRẦN MY hoặc CÔ BÉ BÁN DÉP LẦN ĐẦU BÁN DÉP ONLINE, hãy cùng CrisDevilGamer tới với một video mới trong chuỗi các video Cris Devil Gamer bị đuổi việc nhé
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",257873,10199358,12409
absndFTx8vs,UCd0neB_LB1xpwIYDetX2qTg,2018-04-08T10:34:07Z,Cris Devil Gamer LẦN ĐẦU XEM MV POM của ZERO9 | CrisDevilGamer Reaction,"Video chỉ có mục đích giải trí, hài hước và gây tiếng cười, không hề có ý lăng mạ hay sỉ nhục bất kì cá nhân hay tổ chức nào cả!
Clip gốc: https://youtu.be/eiKlfxStzWs
*
Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của mình:
https://www.facebook.com/cris.phan.7
Fanpage của mình:
https://www.facebook.com/CrisDevilGamer
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
Hôm nay CrisDevilGamer sẽ LẦN ĐẦU XEM bài hát POM của nhóm Zero9, Zero 9 là một nhóm trẻ mang phong cách Hàn Quốc, Cris Devil Gamer sẽ Reaction Zero 9 như các bạn yêu cầu nhé
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",208639,8634211,19427
fpLeYCmvlWA,UCd0neB_LB1xpwIYDetX2qTg,2020-04-09T10:59:59Z,CrisDevilGamer LẦN ĐẦU XEM ĐƯA CÔ VY ĐI của HUỲNH LẬP,"Video chỉ có mục đích giải trí, hài hước và gây tiếng cười, không hề có ý lăng mạ hay sỉ nhục bất kì cá nhân hay tổ chức nào cả!
Link MV Gốc: https://www.youtube.com/watch?v=Mdr184Y3fVc
*
#HuynhLap #DuaCoVyDi #CrisDevilGamer
Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer
Facebook của mình:
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
CrisDevilGamer Reaction hôm nay sẽ trở lại với một MV parody của Huỳnh Lập dựa trên bài hát của chị Bích Phương là ĐI ĐU ĐƯA ĐI thì lần này là ĐƯA CÔ VY ĐI, nào hãy cùng Cris Devil Gamer khám phá clip này nhé
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",96441,2812769,3202
TNQ-zGQ_M6Y,UCd0neB_LB1xpwIYDetX2qTg,2019-07-20T11:00:18Z,TRÀ CHANH CHÉM GIÓ cùng vợ chồng CrisDevilGamer và Mai Quỳnh Anh,"Xem tiếp phiên bản trà chanh chém gió THEO ANH KHÔNG? với cặp đôi JUSTATEE & PHƯƠNG LY: https://youtu.be/A2OtU0HOzJY

#TheoAnhKhong #TAK #Justatee #PhuongLy #OlongchanhTea+

Facebook trà Ô Long TEA+: https://www.facebook.com/teaplus/
*
#CrisDevilGamer #MaiQuynhAnh #TheoAnhKhong
Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer
Facebook của mình:
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
Hôm nay CrisDevilGamer Reaction sẽ trở lại và lợi hại hơn xưa với bộ đôi Cris Devil Gamer và Mai Quỳnh Anh, kì này Cris Devil Gamer Reaction sẽ xem thử xem bộ đôi chị Phương Ly và anh Justatee trong MV THEO ANH KHÔNG sẽ thể hiện ra sao? Cris và Mai Quỳnh Anh sẽ nói gì? Nào mời các bạn cùng xem
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",295092,17001478,11019
eLRF-2lcRmo,UCd0neB_LB1xpwIYDetX2qTg,2019-03-31T11:00:13Z,TRẬN CHIẾN THẢ THÍNH PARODY | CrisDevilGamer - Mai Quỳnh Anh,"TRẬN CHIẾN THẢ THÍNH PARODY | CrisDevilGamer - Mai Quỳnh Anh
#tranchienthathinh #CrisDevilGamer #NoobMaiQuynhAnh

Sting World Vietnam
Hiệp 1: https://www.youtube.com/watch?v=1NdtSm5Aa38 

Hiệp 2: https://www.youtube.com/watch?v=RNbidjJUwOk

Hiệp 3: https://www.youtube.com/watch?v=9iyGrPluse4


Group Động Quỷ của CrisDevilGamer:
https://www.facebook.com/groups/CrisDevilGamerGroup
Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer
Facebook của mình
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)",70539,6633079,2241
2jh2E8_gNe4,UCd0neB_LB1xpwIYDetX2qTg,2017-02-23T11:11:31Z,CrisDevilGamer nhiễm TRÀO LƯU CHIM LẮC,"Facebook của Cẩm nang game thủ: https://www.facebook.com/CrisDevilGamer?ref=br_rs
Facebook cá nhân mình:
https://www.facebook.com/cris.phan.7
*
Nếu các bạn thích video đừng ngần ngại hãy click nút like và đăng kí theo dõi để mình có thêm động lực làm ra các video cho các bạn cùng vui nhé :)
*
Dạo gần đây có một loài chim gọi là chim lắc đang tồn tại và trở thành trào lưu trên facebook, nó có tên là TRASH DOVES, tức là con bồ câu rác rưởi, với cái tên khá là kì cục đó nhưng nó lại hết sức nổi tiếng trên toàn thế giới... và CrisDevilGamer đã bị dính phải trào lưu này...
*
---------/.\..|..|./.\
---------\..\.|..|/../.\
----------\..\|..|../../
-------__)........../
------(__........../
-----------|.......|
-----------|____| Yeah ! Highfive !",112481,7509735,9629
