video_id,channel_id,published_date,video_title,video_description,likes,dislikes,views,comment_count
ZxiETzt9icM,UCq-Fj5jknLsUf-MWSy4_brA,2019-08-31T11:33:34Z,"Khairiyat Video | Chhichhore | Nitesh Tiwari | Arijit Singh | Sushant, Shraddha | Pritam | Amitabh B","Here comes the soulful number ""Khairiyat"" from the movie ""Chhichhore."" A beautiful song that  will make you revisit your ""college ka pehla pyaar memories."" The song sung by Arijit, composed by Pritam will surely soothe your soul! After all, your college ka pehla pyaar stays with you for a very long time. Team Chhichhore dedicates this melody to all those love stories that began in college through ""Khairiyat.""

#Khairiyat #Chhichhore #NewSong2019 
---------------------------------------------------
🎬 MOVIE CREDITS
Directed by Nitesh Tiwari 
Produced by Sajid Nadiadwala
Presented & Co-produced by Fox Star Studios
A Nadiadwala Grandson Entertainment production

🎬CHHICHHORE to release on 6th September 2019

♪ Full Song Available on ♪
iTunes : http://bit.ly/Chhichhore-Full-Album-iTunes
Hungama : http://bit.ly/Chhichhore-Full-Album-Hungama
Wynk : http://bit.ly/Chhichhore-Full-Album-Wynk
Gaana : http://bit.ly/Chhichhore-Full-Album-Gaana
JioSaavn : http://bit.ly/Chhichhore-Full-Album-JioSaavn
Apple Music : http://bit.ly/Chhichhore-Full-Album-Apple-Music
Amazon Prime Music : http://bit.ly/Chhichhore-Full-Album-Amazon-Prime-Music
Spotify : http://bit.ly/Chhichhore-Full-Album-Spotify
Google Play : http://bit.ly/Chhichhore-Full-Album-Google-Play
________________________________________
For Caller Tunes :
Khairiyat https://bit.ly/2m2x1jU
Khairiyat - Tumhari Tasvir Ke Sahare https://bit.ly/2lHXUcv
________________________________________   
Set as Caller Tune:
Set ""Khairiyat"" as your caller tune - sms CHICH12 To 54646
Set ""Khairiyat - Tumhari Tasvir Ke Sahare"" as your caller tune - sms CHICH13 To 54646
________________________________________
Song - KHAIRIYAT 
Singer – Arijit Singh
Music: Pritam
Lyrics - Amitabh Bhattacharya
Music Production & Sound Design - DJ Phukan& Sunny M.R.
Music Programmed and Arranged – Meghdeep Bose & Sunny M.R.
Mix & Master - ShadabRayeen @ New Edge
Violin, Viola, Clarinets, and Flutes – Shirish Malhotra
Strings (Bangkok, Thailand) at Studio28
Violin 1 - PongsitKarnkriangkrai, PacharapolTechatanachai, PattapolJirasuttisam, and ChotBuasuwan
Violin 2 - ChalatLimpisiri, PittayaPruksacholavit, TonmaiiPaichana, and KiratikomPromdewet
Viola - ThachapolNamwong, PongthepJitduangprem, SurachonLerdlop, and AtjayutSangkasem
Cello - TeerakiatKerdlarp, VannophatKaploykeo, and SamatcharPourkarua
Conducted byTrisdeenaPatalung
Vocal Conductors - Tushar Joshi &AkashdeepSengupta
Chief Sound Engineer &Shootmix by Ashwin Kulkarni
Recording Engineers - Ashwin Kulkarni, AarohVelankar, HimanshuShirlekar, AniruddhAnantha&Harjot Kaur
Assistant to Shadab - Abhishek Sortey&DhananjayKhapekar
Recording Engineers at Arijit's Studio – SukantoSingha
Scratch Lyrics - ShlokeLal
Music Production Manager - Anurag Sharma
Music Label - T-Series 
________________________________________
Operator Codes: 
1.Khairiyat
Vodafone Subscribers Dial 53711585933
Airtel Subscribers Dial 5432117208835
Idea Subscribers Dial 53711585933
Tata DoCoMo Subscribers dial 54321111585933
BSNL (South / East) Subscribers sms BT 11585933 To 56700
BSNL (North / West) Subscribers sms BT 7309038 To 56700
Virgin Subscribers sms TT 11585933 To 58475
MTNL Subscribers sms PT 11585933 To 56789

2.Khairiyat - Tumhari Tasvir Ke Sahare
Vodafone Subscribers Dial 53711585943
Airtel Subscribers Dial 5432117208876
Idea Subscribers Dial 53711585943
Tata DoCoMo Subscribers dial 54321111585943
BSNL (South / East) Subscribers sms BT 11585943 To 56700
BSNL (North / West) Subscribers sms BT 7309039 To 56700
Virgin Subscribers sms TT 11585943 To 58475
MTNL Subscribers sms PT 11585943 To 56789
________________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",843757,23218,55188188,24852
9iIX4PBplAY,UCq-Fj5jknLsUf-MWSy4_brA,2018-07-28T08:45:00Z,Sanju: KAR HAR MAIDAAN FATEH Full Video Song | Ranbir Kapoor | Rajkumar Hirani,"Presenting “Kar Har Maidaan Fateh” Full Video Song, a song about hope and courage. Based on the life of Bollywood star Sanjay Dutt, and directed by Rajkumar Hirani,  A Vinod Chopra Films and Rajkumar Hirani Films production, presented by Fox Star Studios, the movie stars Ranbir Kapoor, Paresh Rawal and Manisha Koirala in the lead. 

♪ Available on ♪
iTunes: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-iTunes
Hungama: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Hungama
Saavn: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Saavn
Gaana: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Gaana
Apple Music: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Apple-Music
Google Play: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Google-Play
Wynk: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Wynk
BookMyShow: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-BookMyShow
Jio: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Jio
Amazon Prime Music: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Amazon-Prime-Music
Idea Music: http://bit.ly/Kar-Har-Maidaan-Fateh-Sanju-Idea-Music

For Caller Tunes :
Kar Har Maidaan Fateh https://bit.ly/2JCifHv
Kar Har Maidaan Fateh - Pighalade Janjire https://bit.ly/2JsEaVl
Kar Har Maidaan Fateh - Ghayal Parinda https://bit.ly/2HAtPB7
Kar Har Maidaan Fateh - In Gardishon Ke Baadal https://bit.ly/2JqJXL6
Kar Har Maidaan Fateh - Teri Koshishen https://bit.ly/2JqK5u4

Set as Caller Tune:
Set ""Kar Har Maidaan Fateh"" as your caller tune - sms SANJU6 To 54646
Set ""Kar Har Maidaan Fateh - Pighalade Janjire"" as your caller tune - ssms SANJU7 To 54646
Set ""Kar Har Maidaan Fateh - Ghayal Parinda"" as your caller tune -  sms SANJU8 To 54646
Set ""Kar Har Maidaan Fateh - In Gardishon Ke Baadal"" as your caller tune -sms SANJU9 To 54646
Set ""Kar Har Maidaan Fateh - Teri Koshishen"" as your caller tune - sms SANJU10 To 54646
________________________________________
Song: Kar Har Maidaan Fateh
Singers: Sukhwinder Singh & Shreya Ghoshal
Music: Vikram Montrose
Lyrics: Shekhar Astitwa
Song Programmed by: Vikram Montrose
Additional Programming: Bibhuti Gogoi
Sound Design: Utpal Das
Live Percussions: Pratap Rath
Live Guitars: Ishaan Das
Drums: Zorran Mendonsa
Violins: Kailash Patra
Vocals & Live recorded by: Kittu Myakal
Asst. Recording Engineer: Urmila Sutar
Recording Studio: Soundideaz Studio
Mixed by: Steve Fitzmaurice
________________________________________
Operator Codes: 
1.Kar Har Maidaan Fateh
Vodafone Subscribers Dial 53710503587
Airtel Subscribers Dial 5432116540375
Idea Subscribers Dial 5678910503587
Tata DoCoMo Subscribers dial 54321110503587
BSNL (South / East) Subscribers sms BT 10503587 To 56700
BSNL (North / West) Subscribers sms BT 7111978 To 56700
Virgin Subscribers sms TT 10503587 To 58475
MTNL Subscribers sms PT 10503587 To 56789

2.Kar Har Maidaan Fateh - Pighalade Janjire
Vodafone Subscribers Dial 53710503607
Airtel Subscribers Dial 5432116540014
Idea Subscribers Dial 5678910503607
Tata DoCoMo Subscribers dial 54321110503607
BSNL (South / East) Subscribers sms BT 10503607 To 56700
BSNL (North / West) Subscribers sms BT 7111979 To 56700
Virgin Subscribers sms TT 10503607 To 58475
MTNL Subscribers sms PT 10503607 To 56789

3.Kar Har Maidaan Fateh - Ghayal Parinda
Vodafone Subscribers Dial 53710503589
Airtel Subscribers Dial 5432116538633
Idea Subscribers Dial 5678910503589
Tata DoCoMo Subscribers dial 54321110503589
BSNL (South / East) Subscribers sms BT 10503589 To 56700
BSNL (North / West) Subscribers sms BT 7111980 To 56700
Virgin Subscribers sms TT 10503589 To 58475
MTNL Subscribers sms PT 10503589 To 56789

4.Kar Har Maidaan Fateh - In Gardishon Ke Baadal
Vodafone Subscribers Dial 53710503596
Airtel Subscribers Dial 5432116540361
Idea Subscribers Dial 5678910503596
Tata DoCoMo Subscribers dial 54321110503596
BSNL (South / East) Subscribers sms BT 10503596 To 56700
BSNL (North / West) Subscribers sms BT 7111981 To 56700
Virgin Subscribers sms TT 10503596 To 58475
MTNL Subscribers sms PT 10503596 To 56789

5.Kar Har Maidaan Fateh - Teri Koshishen
Vodafone Subscribers Dial 53710503576
Airtel Subscribers Dial 5432116540395
Idea Subscribers Dial 5678910503576
Tata DoCoMo Subscribers dial 54321110503576
BSNL (South / East) Subscribers sms BT 10503576 To 56700
BSNL (North / West) Subscribers sms BT 7111982 To 56700
Virgin Subscribers sms TT 10503576 To 58475
MTNL Subscribers sms PT 10503576 To 56789

___
Enjoy & stay connected with us!
► Subscribe to T-Series: http://bit.ly/TSeriesYouTube
► Like us on Facebook: https://www.facebook.com/tseriesmusic
► Follow us on Twitter: https://twitter.com/tseries
► Follow us on Instagram: http://bit.ly/InstagramTseries",812251,45551,121099153,21200
2mWaqsC3U7k,UCq-Fj5jknLsUf-MWSy4_brA,2011-12-19T09:24:34Z,"""Phir Se Ud Chala Full Song Rockstar"" | Ranbir Kapoor","Enjoy the latest song ""Phir Se Ud Chala"" starring Ranbir Kapoor from the upcoming Bollywood movie Rockstar. Some shots of this song are shooted in T-Series film studio's to give it more realistic look. 

Song ~Phir Se Ud Chala
Movie ~ Rockstar
Starcast ~ Ranbir Kapoor, Nargis Fakhri
Singer ~ Mohit Chauhan
Music By ~ A R Rahman
Music Label ~ T-Series

SUBSCRIBE T-Series channel for unlimited entertainment
http://www.youtube.com/tseries

 


Like us on Facebook
http://www.facebook.com/tseriesmusic",278045,9854,55104273,7445
sT6ywcPNTWk,UCq-Fj5jknLsUf-MWSy4_brA,2016-08-07T12:05:35Z,Freaky Ali Official Trailer | Nawazuddin Siddiqui |Arbaaz khan | Sohail Khan |Amy Jackson,"Freaky Ali is an inspirational film of an underdog who becomes a game changer, a poor man who takes on a rich man’s sport golf.

CAST-
Nawazuddin Siddiqui
Arbaaz khan
Amy Jackson
Jas Arora
Seema Biswas
 Nikitin dheer
Asif Basra
Co-producer - Puneet Singh & Nishant Pitti

Enjoy and stay connected with us!!

Subscribe to T-Series Channel for unlimited entertainment
http://www.youtube.com/user/tseries?sub_confirmation=1




Like us on Facebook
http://www.facebook.com/tseriesmusic

Follow us on
http://www.twitter.com/tseries

Follow us on
http://www.instagram.com/tseries.official



----------------------------------------------",84800,2549,11894653,4478
hMSMe3T98iE,UCq-Fj5jknLsUf-MWSy4_brA,2018-02-17T14:22:06Z,Khalibali Song Making Video | Padmaavat | Ranveer Singh | Deepika Padukone | Shahid Kapoor,"Presenting the behind the scenes of video song ""Khalibali""  from the Bollywood movie ""Padmaavat"".

Viacom18 Motion Pictures and Bhansali Productions present Padmaavat, Directed by Sanjay Leela Bhansali and produced by Sudhanshu Vats, Ajit Andhare & Sanjay Leela Bhansali. The movie starring Ranveer Singh, Deepika Padukone, Shahid Kapoor, Aditi Rao Hydari and Jim Sarbh.Padmaavat in cinemas now! 

Song -  Khalibali
Singers -  Shivam Pathak
Music  -  Sanjay Leela Bhansali
Lyrics -  A M Turaz   
Music Label - T-Series
___
Enjoy & stay connected with us!
► Subscribe to T-Series: http://bit.ly/TSeriesYouTube
► Like us on Facebook: https://www.facebook.com/tseriesmusic
► Follow us on Twitter: https://twitter.com/tseries
► Follow us on Instagram: http://bit.ly/InstagramTseries",114911,3291,8653083,3683
8kxufj_snhI,UCq-Fj5jknLsUf-MWSy4_brA,2013-02-27T08:00:31Z,"Mera Mann Kehne Laga Full Song with Lyrics | Nautanki Saala | Ayushmann Khurrana,Kunaal Roy Kapur","Presenting full song ""Mera Mann by Falak"" with lyrics from upcoming movie NAUTANKI SAALA! produced by T-Series Films & Ramesh Sippy Entertainment. and it is directed by  Rohan Sippy starring Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Gaelyn Mendonca, Evelyn Sharma.

Song: Mera Mann
Movie: Nautanki Saala!
Singer: Falak Shabir
Music: Falak Shabir 
Music Produced by: Mikey McCleary
Lyrics: Falak Shabir
Music Label: T-Series
Producer: Bhushan Kumar, Krishan Kumar  Producer: Ramesh Sippy, Roopa De Choudhury.

Set it as your caller tune - http://goo.gl/rlyKa0

Enjoy and stay connected with us!! 

SUBSCRIBE T-Series channel for unlimited entertainment
http://www.youtube.com/tseries

 


Like us on Facebook
http://www.facebook.com/tseriesmusic

Follow us
http://www.twitter.com/_Tseries",170852,5249,29144572,4133
-z_UvHknyrc,UCq-Fj5jknLsUf-MWSy4_brA,2019-09-17T11:00:00Z,"Full Song: Woh Din Film Version | Chhichhore | Sushant,Shraddha | Pritam | Amitabh | Tushar Joshi","Presenting the full video of the song ""Woh Din from the film Chhichhore, This track is an ode to friendship and all those memories we gather during our college days, the ones we shall cherish for a lifetime. The song is composed by Pritam and beautifully written by Amitabh Bhattacharya, Tushar Joshi’s voice draw us into an immersive experience down the memory lane.

 Chhichhore is a Hindi film directed by Nitesh Tiwari and produced by Sajid Nadiadwala under the banner of Nadiadwala Grandson Entertainment. The film stars Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Babbar and follows the lives of seven friends from 1992 to present day.
---------------------------------------------------------------
Connect with T-SERIES: 👉 http://bit.ly/TSeriesYouTube
----------------------------------------------------------------
♪ Full Song Available on ♪
iTunes : http://bit.ly/Chhichhore-Full-Album-iTunes
Hungama : http://bit.ly/Chhichhore-Full-Album-Hungama
Wynk : http://bit.ly/Chhichhore-Full-Album-Wynk
Gaana : http://bit.ly/Chhichhore-Full-Album-Gaana
JioSaavn : http://bit.ly/Chhichhore-Full-Album-JioSaavn
Apple Music : http://bit.ly/Chhichhore-Full-Album-Apple-Music
Amazon Prime Music : http://bit.ly/Chhichhore-Full-Album-Amazon-Prime-Music
Spotify : http://bit.ly/Chhichhore-Full-Album-Spotify
Google Play : http://bit.ly/Chhichhore-Full-Album-Google-Play
________________________________________
For Caller Tunes :
Woh Din (Film Version) https://bit.ly/2km0YLr
Woh Din (Film Version)- Yaadon Ke Purane https://bit.ly/2km0sgq
Woh Din (Film Version) - Bigde Hue Insaan https://bit.ly/2lCoBzo
Woh Din (Film Version) - Karna Mana The https://bit.ly/2lysmpz
Woh Din (Film Version) - Kharbujo O Kharbujo https://bit.ly/2m4muEZ
________________________________________
Set as Caller Tune:
Set ""Woh Din (Film Version)"" as your caller tune - sms CHICH3 To 54646
Set ""Woh Din (Film Version)- Yaadon Ke Purane"" as your caller tune - sms CHICH4 To 54646
Set ""Woh Din (Film Version) - Bigde Hue Insaan"" as your caller tune - sms CHICH5 To 54646
Set ""Woh Din (Film Version) - Karna Mana The"" as your caller tune - sms CHICH6 To 54646
Set ""Woh Din (Film Version) - Kharbujo O Kharbujo"" as your caller tune - sms CHICH7To 54646
________________________________________
♫ Song- WOH DIN Film Version
Singer - Tushar Joshi
Music – Pritam
Lyrics - Amitabh Bhattacharya
Music Programmed, Arranged & Sound Design - DJ Phukan& Sunny M.R.
Mix & Master - ShadabRayeen @ New Edge
Acoustic Guitar - Veljon Noronha, PawanRasaily, Krishna Pradhan & Roland Fernandes
Electric Guitar - PawanRasaily, Krishna Pradhan & Roland Fernandes
Bass - Roland Fernandes
Harmonica - Sridhar Rajagopalan
Cajon - ChinmayDeore
Whistle - DJ Phukan&ShubhamShirule
Vocal Design - DJ Phukan, Tushar Joshi, AkashdeepSengupta and AniruddhAnantha
Vocal Conductors - Tushar Joshi &AkashdeepSengupta
Chief Sound Engineer &Shootmix by Ashwin Kulkarni
Recording Engineers - Ashwin Kulkarni, AarohVelankar, HimanshuShirlekar, Aniruddh Anantha & Harjot Kaur
Assistant to Shadab - Abhishek Sortey&DhananjayKhapekar
Scratch Lyrics - ShlokeLal
Chorus - Ashwin Kulkarni, AarohVelankar, Anurag Sharma, AkashdeepSengupta, AniruddhAnantha, Farhan Shaikh and ShubhamShirule
Music Production Manager - Anurag Sharma
Music Label - T-Series 
________________________________________
Operator Codes: 
1.Woh Din (Film Version)
Vodafone Subscribers Dial 53711573744
Airtel Subscribers Dial 5432117201395
Idea Subscribers Dial 53711573744
Tata DoCoMo Subscribers dial 54321111573744
BSNL (South / East) Subscribers sms BT 11573744 To 56700
BSNL (North / West) Subscribers sms BT 7307593 To 56700
Virgin Subscribers sms TT 11573744 To 58475
MTNL Subscribers sms PT 11573744 To 56789

2.Woh Din (Film Version)- Yaadon Ke Purane
Vodafone Subscribers Dial 53711573745
Airtel Subscribers Dial 5432117201377
Idea Subscribers Dial 53711573745
Tata DoCoMo Subscribers dial 54321111573745
BSNL (South / East) Subscribers sms BT 11573745 To 56700
BSNL (North / West) Subscribers sms BT 7307597 To 56700
Virgin Subscribers sms TT 11573745 To 58475
MTNL Subscribers sms PT 11573745 To 56789
___
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",226579,3427,12681612,7287
pLhNdJNwGC8,UCq-Fj5jknLsUf-MWSy4_brA,2020-10-01T05:30:12Z,Baby Girl | Guru Randhawa Dhvani Bhanushali | Remo D'Souza | Bhushan Kumar,"Gulshan Kumar and T-Series presents Bhushan Kumar's official music video of the song ""BABY GIRL"" featuring  Guru Randhawa, Dhvani Bhanushali. This latest song is composed by Guru Randhawa. The song is sung by Dhvani Bhanushali & Guru Randhawa. The video directed by  Remo D'Souza. 

♪Stream the Full Song Here♪ 
Spotify: http://bit.ly/BabyGirl-Spotify
Hungama: http://bit.ly/BabyGirl-Hungama
Gaana: http://bit.ly/BabyGirl-Gaana
Apple Music: http://bit.ly/BabyGirl-AppleMusic
Amazon Prime Music: http://bit.ly/BabyGirl-AmazonPrimeMusic
Wynk: http://bit.ly/BabyGirl-Wynk
Resso: http://bit.ly/BabyGirl-Resso
iTunes: http://bit.ly/BabyGirl-iTunes
Google Play: http://bit.ly/BabyGirl-GooglePlay

Song: BABY GIRL 
Featuring: Guru Randhawa & Dhvani Bhanushali
Singers: Guru Randhawa & Dhvani Bhanushali
Lyrics: Guru Randhawa
Composition: Guru Randhawa 
Music: Vee
Mix Master: Crossflow (UK) 
Video Director: Remo Dsouza 
Choreographer: Rahul Shetty 
DOP: Vishal Sinha 
Edit: Nitin FCP 
Colorist: Nadeem Akhtar 
Production House: R D Entertainment 
Art Director: Sheena Dsouza 
Styling: Denish Hemirani 

Team Guru Randhawa
Hair : Ali
Fitness trainer : Mouyie fitness
Manager : Jassi Singh

Team Dhvani Bhanushali 
Make-Up Design - Sahithya Shetty 
Hair Stylist: Reeta Shukla 
Stylist - Shreeja Rajgopal
Assistant Stylist - Priyanka Shirodkar Ajwani
BTS: Vahishta Bharucha 
Talent Management Agency - Matrix India Entertainment Pvt. Ltd.
___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",902544,52386,21859460,146813
I3rQkFFqCiI,UCq-Fj5jknLsUf-MWSy4_brA,2011-05-17T00:09:32Z,"Full Video : Tum Ho Toh | Rock On | Arjun Rampal, Farhan Akhtar | Shankar-Ehsaan-Loy","Presenting the full video for the song "" Tum Ho Toh"" from the bollywood movie ROCK ON. Rock On is a musical drama film written and directed by Abhishek Kapoor, produced by Farhan Akhtar, and with music by Shankar-Ehsaan-Loy. The film features Akhtar and Prachi Desai. Arjun Rampal, Akhtar, Luke Kenny, and Purab Kohli,

Song: Tum Ho Toh
Album: Rock On!!
Star cast : Arjun Rampal, Farhan Akhtar, Prachi Desai, Purab Kohli, Koel Puri
Singer : Farhan Akhtar
Music Director : Shankar Mahadevan, Ehsaan Noorani, Loy Mendonca
Lyricst : Javed Akhtar
Music Label : T-Series
___________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",30417,979,4913632,963
05DrDxjMEbU,UCq-Fj5jknLsUf-MWSy4_brA,2020-02-20T05:31:24Z,"Ek Zindagi | Angrezi Medium | Irrfan, Radhika M, Kareena K,Deepak D | Tanishkaa, Sachin-Jigar","Presenting the first video song ""Ek Zindagi"" from the upcoming Bollywood movie #AngreziMedium. This latest track is sung by Tanishkaa Sanghavi and Sachin - Jigar and the music is composed by the duo Sachin - Jigar.

The film is featuring Irrfan Khan, Kareena Kapoor Khan, Radhika Madan, Deepak Dobriyal, Dimple Kapadia, Ranvir Shorey, Pankaj Tripathi, and Kiku Sharda.
Directed by: Homi Adajania 
Produced by: Dinesh Vijan & Jyoti Deshpande 

Angrezi Medium  Movie Releasing On ► 13 March 2020

A heartwarming and hilarious story of the unconditional love between a father and his daughter. A tale of unbreakable friendships and small-town obsessions with the ‘foreign’ dream. Angrezi Medium makes us realize that sometimes people may travel very far in search of answers that were always within them.
--------------------------------------------------
Watch the trailer here: https://youtu.be/rzlfeocUVhI
--------------------------------------------------
----------------------------------------------------------------
Make your TikTok Video Here: https://vm.tiktok.com/bLTpxa/
----------------------------------------------------------------
----------------------------------------------------------------
Make your Likee Video Here: https://l.likee.video/m/UkbIYr
----------------------------------------------------------------
♪Stream the Full Song Here♪ 
Spotify: http://bit.ly/EkZindagi-Spotify
JioSaavn: http://bit.ly/EkZindagi-JioSaavn
Apple Music: http://bit.ly/EkZindagi-AppleMusic
iTunes: http://bit.ly/EkZindagi-iTunes
Wynk: http://bit.ly/EkZindagi-Wynk
Hungama: http://bit.ly/EkZindagi-Hungama
Resso : http://bit.ly/EkZindagi-Resso
Gaana: http://bit.ly/EkZindagi-Gaana
Google Play: http://bit.ly/EkZindagi-GooglePlay

For Caller Tunes :
Ek Zindagi http://bit.ly/38jyWCT
Ek Zindagi - Sab Ki Rok Hai http://bit.ly/2TGgwaa

Set as Caller Tune:
Set ""Ek Zindagi"" as your caller tune - sms AZMD1 To 54646
Set ""Ek Zindagi - Sab Ki Rok Hai"" as your caller tune - sms AZMD2 To 54646
________________________________________
♫ Song Credits♫
♫ Song: Ek Zindagi
♫ Singers - Tanishkaa Sanghvi, Sachin - Jigar
♫ Music  - Sachin - Jigar
♫ Lyrics - Jigar Saraiya
♫ Arrangements & Programming - Sachin - Jigar
♫ Additional Programming - Hrishikesh Gangan
♫ Music Production Head - Romil Ved
♫ Mix & Master - Eric Pillai at Future Sound of Bombay
♫ Assistant Mix Engineer - Michael Edwin Pillai
♫ Live Instruments:
♫ Guitar - Indrajit Chetia
♫ Chorus:
Aashna Bhansali
Prisha dikshit
Vrishti Pethani
Saanvi Jalan
Eva Mehta
Saumya Parekh
Music Label - T-Series 

♫ Original Song Credits: 
Music - Sachin - Jigar
Lyrics - Kumar
Singer - Tanishkaa Sanghvi
________________________________________
Operator Codes: 
1.Ek Zindagi
Vodafone Subscribers Dial 53711919434
Airtel Subscribers Dial 5432117386514
Idea Subscribers Dial 53711919434
Tata DoCoMo Subscribers dial 54321111919434
BSNL (South / East) Subscribers sms BT 11919434 To 56700
BSNL (North / West) Subscribers sms BT 7366975 To 56700
Virgin Subscribers sms TT 11919434 To 58475
MTNL Subscribers sms PT 11919434 To 56789

2.Ek Zindagi - Sab Ki Rok Hai
Vodafone Subscribers Dial 53711919412
Airtel Subscribers Dial 5432117386544
Idea Subscribers Dial 53711919412
Tata DoCoMo Subscribers dial 54321111919412
BSNL (South / East) Subscribers sms BT 11919412 To 56700
BSNL (North / West) Subscribers sms BT 7366976 To 56700
Virgin Subscribers sms TT 11919412 To 58475
MTNL Subscribers sms PT 11919412 To 56789
________________________________________
Enjoy & stay connected with us!
👉 Subscribe to T-Series: http://bit.ly/TSeriesYouTube
👉  Like us on Facebook: https://www.facebook.com/tseriesmusic
👉Follow us on Twitter: https://twitter.com/tseries
👉 Follow us on Instagram: http://bit.ly/InstagramTseries",210599,9884,25411894,7246
